longitude,latitude
144.874463,13.648109
144.869027,13.652187
144.863226,13.654151
144.858405,13.653789
144.851239,13.647465
144.847371,13.638273
144.836589,13.623863
144.835151,13.610473
144.837398,13.595420
144.834249,13.586707
144.832142,13.584684
144.830427,13.576394
144.827896,13.575979
144.821911,13.569821
144.817450,13.558936
144.813182,13.555388
144.808341,13.543281
144.802727,13.535980
144.803532,13.521221
144.805135,13.516030
144.797619,13.506486
144.789602,13.504262
144.783467,13.508275
144.774248,13.506517
144.769445,13.500391
144.770130,13.495217
144.774540,13.494086
144.773464,13.486465
144.768253,13.480312
144.762325,13.478312
144.744049,13.477632
144.738691,13.479132
144.724708,13.478211
144.716349,13.473347
144.710286,13.474283
144.701756,13.468107
144.689724,13.463569
144.686069,13.467980
144.675328,13.463141
144.676918,13.460398
144.684148,13.464279
144.683513,13.458126
144.667633,13.458192
144.670893,13.454008
144.676300,13.456873
144.681835,13.456122
144.682308,13.448695
144.681048,13.444043
144.673854,13.446080
144.667198,13.442630
144.667226,13.437196
144.672526,13.438145
144.675906,13.432440
144.674105,13.426889
144.667045,13.418549
144.660083,13.431123
144.664605,13.439150
144.662518,13.443175
144.653108,13.443505
144.640742,13.441670
144.632119,13.443692
144.627451,13.447258
144.622452,13.448061
144.618510,13.445896
144.624167,13.437774
144.633012,13.434437
144.638592,13.430667
144.639519,13.421315
144.644069,13.417626
144.655512,13.414516
144.660976,13.408148
144.663079,13.399018
144.660471,13.390213
144.656235,13.386483
144.651557,13.377552
144.652363,13.372845
144.649393,13.362515
144.639821,13.343757
144.638891,13.338822
144.644038,13.338083
144.652311,13.326956
144.650059,13.322132
144.657282,13.316698
144.653267,13.311179
144.657694,13.306839
144.656749,13.301850
144.662937,13.297877
144.657148,13.293415
144.659460,13.286542
144.662246,13.285365
144.663738,13.275279
144.661906,13.271342
144.664766,13.267516
144.674295,13.260807
144.677572,13.254470
144.683999,13.254267
144.700695,13.247141
144.706056,13.246330
144.715071,13.248113
144.724612,13.247331
144.733035,13.253512
144.738494,13.263112
144.743541,13.264884
144.742429,13.268664
144.751020,13.273086
144.759073,13.279058
144.763113,13.284007
144.763940,13.291267
144.767945,13.293806
144.772458,13.303815
144.771475,13.316264
144.772854,13.319968
144.772820,13.328274
144.771278,13.334155
144.772632,13.341434
144.771593,13.354289
144.771832,13.361994
144.769579,13.366990
144.772283,13.371156
144.772599,13.376814
144.776659,13.387392
144.776397,13.394961
144.781956,13.401205
144.781444,13.405073
144.784162,13.410542
144.788965,13.413817
144.784265,13.418275
144.785867,13.424150
144.798637,13.427675
144.804209,13.426381
144.809071,13.429807
144.810042,13.433400
144.818083,13.442007
144.824604,13.442211
144.831459,13.447874
144.841057,13.460441
144.851519,13.464064
144.870612,13.485921
144.876727,13.489639
144.884186,13.490882
144.891998,13.498327
144.891846,13.506252
144.895562,13.506821
144.902591,13.513248
144.913831,13.515637
144.925974,13.521678
144.932111,13.533936
144.932983,13.540483
144.939660,13.552048
144.938621,13.561993
144.940435,13.567983
144.946674,13.572209
144.950483,13.578821
144.951782,13.587296
144.956176,13.594876
144.955962,13.599287
144.936934,13.600229
144.931449,13.601728
144.927707,13.600035
144.915539,13.602626
144.905594,13.606816
144.904005,13.613425
144.898679,13.622310
144.889804,13.631157
144.882456,13.641515
144.874463,13.648109
