key,dateCreated,latitude,longitude,altitude,deviceId,entryId,lastEdited,timeUploaded,projectName,photo,barrelID,males,females,note,
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICYxsaNCQw,2014-12-04 05:39:36.670000,0.0,0.0,0.0,85a5dcf866e2b1f3,85a5dcf866e2b1f3_1417671576670,2014-12-04 05:39:36.670000,2014-12-04 05:47:18.818400,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICYxsaNCQw","1","1","0","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDku9aNCQw,2015-04-24 01:42:33.274000,0.0,0.0,201.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1429839753274,2015-04-24 01:42:33.274000,2015-04-24 01:54:06.632680,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDku9aNCQw","9","0","2","2911",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDY9eaNCQw,2014-12-17 23:56:38.597000,0.0,0.0,0.0,85a5dcf866e2b1f3,85a5dcf866e2b1f3_1418860598597,2014-12-17 23:56:38.597000,2014-12-18 00:18:16.062600,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDY9eaNCQw","23","0","0","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICUr7OOCQw,2015-05-08 01:25:34.327000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1431048334327,2015-05-08 01:25:34.327000,2015-05-08 01:44:19.378580,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICUr7OOCQw","15","0","0","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDo8s6OCQw,2014-11-13 01:19:07.511000,0.0,0.0,197.0,85a5dcf866e2b1f3,85a5dcf866e2b1f3_1415841547511,2014-11-13 01:19:07.511000,2014-11-14 23:59:23.466170,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDo8s6OCQw","17","0","0","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDk6NGOCQw,2015-04-17 00:02:34.203000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1429228954203,2015-04-17 00:02:34.203000,2015-04-24 01:53:04.959750,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDk6NGOCQw","31","1","1","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDI99WOCQw,2014-10-23 22:52:07.860000,0.0,0.0,211.0,85a5dcf866e2b1f3,85a5dcf866e2b1f3_1414104727860,2014-10-23 22:52:07.860000,2014-10-23 23:14:04.828250,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDI99WOCQw","18","0","1","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIC4wdmOCQw,2015-01-22 23:31:34.786000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1421969494786,2015-01-22 23:31:34.786000,2015-01-22 23:34:57.012250,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIC4wdmOCQw","11","0","0","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgID42uCOCQw,2015-02-12 02:02:38.844000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1423706558844,2015-02-12 02:02:38.844000,2015-02-12 02:27:52.459010,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgID42uCOCQw","11","0","0","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgID0_fyOCQw,2015-06-17 00:44:51.762000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1434501891762,2015-06-17 00:44:51.762000,2015-06-17 03:03:58.886030,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgID0_fyOCQw","26","0","0","N/A",
